SampleID,Aligned,Dedup,Cov,fishid,year,WY,region,age,sub_grp_sr_100,sub_grp_sr_150,clust_name_100,clust_name_150,selection,Path,ybin
LFS378,7934403,1256711,0.283082,LFS_0378,2011,2011,SPB,141,1,NA,HS,NA,0,data/alt-longfin/LFS378.sort.flt.bam,0
LFS380,883453,219958,0.0488511,LFS_0380,2011,2011,SPB,159,1,2,HS,MS,0,data/alt-longfin/LFS380.sort.flt.bam,0
LFS390,992195,242745,0.0546705,LFS_0390,2011,2011,SPB,146,1,NA,HS,NA,0,data/alt-longfin/LFS390.sort.flt.bam,0
LFS392,2062678,447008,0.100466,LFS_0392,2011,2011,SPB,158,3,3,LS,LS,0,data/alt-longfin/LFS392.sort.flt.bam,1
LFS427,1371739,322091,0.0725511,LFS_0427,2011,2011,SPB,150,1,2,HS,MS,0,data/alt-longfin/LFS427.sort.flt.bam,0
LFS435,221397,111904,0.0259551,LFS_0435,2011,2011,SPB,136,1,NA,HS,NA,0,data/alt-longfin/LFS435.sort.flt.bam,0
LFS470,3012311,555144,0.124427,LFS_0470,2011,2011,CBY,187,1,2,HS,MS,0,data/alt-longfin/LFS470.sort.flt.bam,0
LFS540,3317497,598193,0.130456,LFS_0540,2011,2011,CBY,229,1,2,HS,MS,0,data/alt-longfin/LFS540.sort.flt.bam,0
LFS561,32608281,4464135,0.9635,LFS_0561,2011,2011,CBY,169,1,2,HS,MS,0,data/alt-longfin/LFS561.sort.flt.bam,0
LFS909,19309643,2497752,0.54639,LFS_0909,2011,2011,ND,145,3,NA,LS,NA,0,data/alt-longfin/LFS909.sort.flt.bam,1
LFS946,1804534,360446,0.0814957,LFS_0946,2011,2011,SPB,192,3,3,LS,LS,0,data/alt-longfin/LFS946.sort.flt.bam,1
LFS962,36761276,4332769,0.939949,LFS_0962,2011,2011,SBY,170,3,3,LS,LS,0,data/alt-longfin/LFS962.sort.flt.bam,1
