"fishid","year","WY","region","age","sub_grp_sr_100","sub_grp_sr_150","clust_name_100","clust_name_150","selection"
"LFS_0797","2013",2013,"ND",187,4,4,"FW","FW",1
"LFS_0798","2013",2013,"ND",134,4,NA,"FW",NA,1
"LFS_0799","2013",2013,"ND",149,4,NA,"FW",NA,1
"LFS_0800","2013",2013,"ND",170,4,4,"FW","FW",1
"LFS_0801","2013",2013,"ND",193,4,4,"FW","FW",1
"LFS_0802","2013",2013,"ND",116,4,NA,"FW",NA,1
"LFS_0803","2013",2013,"ND",157,4,4,"FW","FW",1
"LFS_0804","2013",2013,"ND",150,4,4,"FW","FW",1
"LFS_0807","2013",2013,"ND",134,4,NA,"FW",NA,1
"LFS_0809","2013",2013,"ND",128,4,NA,"FW",NA,1
"LFS_0810","2013",2013,"ND",145,4,NA,"FW",NA,1
"LFS_0835","2014",2014,"ND",198,3,3,"LS","LS",0
"LFS_0837","2014",2014,"CAR",170,2,2,"MS","MS",0
"LFS_0838","2014",2014,"SPB",149,3,NA,"LS",NA,0
"LFS_0839","2014",2014,"SUS",171,2,2,"MS","MS",0
"LFS_0840","2014",2014,"ND",151,2,2,"MS","MS",0
"LFS_0841","2014",2014,"CAR",134,2,NA,"MS",NA,0
"LFS_0842","2014",2014,"ND",201,4,4,"FW","FW",1
"LFS_0843","2014",2014,"SUS",131,2,NA,"MS",NA,0
"LFS_0844","2014",2014,"ND",158,2,2,"MS","MS",0
"LFS_0845","2014",2014,"ND",147,2,NA,"MS",NA,0
"LFS_0846","2014",2014,"CBY",227,3,3,"LS","LS",0
"LFS_0847","2014",2014,"CAR",138,3,NA,"LS",NA,0
"LFS_0848","2014",2014,"SUS",223,NA,NA,NA,NA,0
"LFS_0851","2014",2014,"SBY",205,2,2,"MS","MS",0
"LFS_0852","2014",2014,"SBY",213,2,2,"MS","MS",0
"LFS_0853","2014",2014,"SBY",194,2,3,"MS","LS",0
"LFS_0854","2014",2014,"SUS",204,3,3,"LS","LS",0
"LFS_0855","2014",2014,"CBY",154,3,3,"LS","LS",0
"LFS_0856","2014",2014,"CBY",187,3,3,"LS","LS",0
"LFS_0857","2014",2014,"CBY",214,3,3,"LS","LS",0
"LFS_0858","2014",2014,"LSR",195,2,3,"MS","LS",0
"LFS_0859","2014",2014,"SBY",192,2,2,"MS","MS",0
"LFS_0860","2014",2014,"ND",124,2,NA,"MS",NA,0
"LFS_0861","2014",2014,"SUS",111,2,NA,"MS",NA,0
"LFS_0862","2014",2014,"ND",183,2,2,"MS","MS",0
"LFS_0863","2014",2014,"ND",113,2,NA,"MS",NA,0
"LFS_0865","2011",2011,"SPB",95,NA,NA,NA,NA,0
"LFS_0867","2011",2011,"SBY",137,1,NA,"HS",NA,0
"LFS_0874","2011",2011,"SBY",141,2,NA,"MS",NA,0
"LFS_0875","2011",2011,"SBY",157,2,2,"MS","MS",0
"LFS_0878","2011",2011,"CBY",187,2,2,"MS","MS",0
"LFS_0879","2011",2011,"CBY",193,2,2,"MS","MS",0
"LFS_0884","2011",2011,"ND",176,2,2,"MS","MS",0
"LFS_0885","2011",2011,"ND",188,2,2,"MS","MS",0
"LFS_0886","2011",2011,"ND",154,2,2,"MS","MS",0
"LFS_0888","2011",2011,"CBY",223,2,2,"MS","MS",0
"LFS_0889","2011",2011,"CBY",187,2,2,"MS","MS",0
"LFS_0890","2011",2011,"CBY",176,2,2,"MS","MS",0
"LFS_0891","2011",2011,"CBY",166,NA,NA,NA,NA,0
"LFS_0892","2011",2011,"CBY",196,1,1,"HS","HS",0
"LFS_0893","2011",2011,"CBY",179,2,2,"MS","MS",0
"LFS_0896","2011",2011,"CBY",210,1,2,"HS","MS",0
"LFS_0905","2011",2011,"ND",132,2,NA,"MS",NA,0
"LFS_0907","2011",2011,"ND",145,2,NA,"MS",NA,0
"LFS_0908","2011",2011,"ND",149,1,NA,"HS",NA,0
"LFS_0909","2011",2011,"ND",145,3,NA,"LS",NA,0
"LFS_0910","2011",2011,"ND",149,2,NA,"MS",NA,0
"LFS_0911","2011",2011,"ND",178,2,2,"MS","MS",0
"LFS_0912","2011",2011,"ND",168,2,2,"MS","MS",0
"LFS_0940","2011",2011,"SPB",144,1,NA,"HS",NA,0
"LFS_0942","2011",2011,"SPB",167,2,3,"MS","LS",0
"LFS_0944","2011",2011,"SPB",211,1,2,"HS","MS",0
"LFS_0946","2011",2011,"SPB",192,3,3,"LS","LS",0
"LFS_0949","2011",2011,"SPB",223,2,2,"MS","MS",0
"LFS_0953","2011",2011,"SPB",184,1,2,"HS","MS",0
"LFS_0955","2011",2011,"SBY",191,1,2,"HS","MS",0
"LFS_0956","2011",2011,"SBY",140,1,NA,"HS",NA,0
"LFS_0957","2011",2011,"SBY",165,1,2,"HS","MS",0
"LFS_0959","2011",2011,"SBY",153,2,2,"MS","MS",0
"LFS_0960","2011",2011,"SBY",180,2,2,"MS","MS",0
"LFS_0961","2011",2011,"SBY",221,1,2,"HS","MS",0
"LFS_0962","2011",2011,"SBY",170,3,3,"LS","LS",0
"LFS_0968","2011",2011,"SPB",158,2,2,"MS","MS",0
"LFS_0969","2011",2011,"SPB",147,2,NA,"MS",NA,0
"LFS_0970","2011",2011,"SUS",222,1,2,"HS","MS",0
"LFS_0971","2011",2011,"SPB",175,1,2,"HS","MS",0
"LFS_0972","2011",2011,"SPB",160,NA,NA,NA,NA,0
"LFS_1028","2009",2009,"CBY",236,2,2,"MS","MS",0
"LFS_1029","2009",2009,"CBY",220,1,2,"HS","MS",0
"LFS_1034","2009",2009,"CBY",190,2,2,"MS","MS",0
"LFS_1035","2009",2009,"SPB",252,1,1,"HS","HS",0
"LFS_1037","2009",2009,"CAR",178,2,2,"MS","MS",0
"LFS_1038","2009",2009,"CAR",172,1,2,"HS","MS",0
"LFS_1039","2009",2009,"CBY",201,2,2,"MS","MS",0
"LFS_1040","2009",2009,"CBY",248,2,2,"MS","MS",0
"LFS_1044","2009",2009,"CBY",164,1,2,"HS","MS",0
"LFS_1046","2009",2009,"CBY",156,3,2,"LS","MS",0
"LFS_1047","2009",2009,"CBY",156,2,2,"MS","MS",0
"LFS_1049","2009",2009,"CBY",170,4,3,"FW","LS",1
"LFS_1060","2009",2009,"SBY",154,1,2,"HS","MS",0
"LFS_1067","2009",2009,"CBY",145,2,NA,"MS",NA,0
"LFS_1068","2009",2009,"CBY",131,2,NA,"MS",NA,0
"LFS_1072","2009",2009,"CAR",146,2,NA,"MS",NA,0
"LFS_1075","2009",2009,"CAR",142,1,NA,"HS",NA,0
"LFS_1076","2009",2009,"CAR",131,3,NA,"LS",NA,0
"LFS_1079","2015",2015,"CBY",174,2,2,"MS","MS",0
"LFS_1080","2015",2015,"SPB",153,1,2,"HS","MS",0
"LFS_1084","2015",2015,"CBY",233,1,1,"HS","HS",0
"LFS_1096","2015",2015,"SBY",147,1,NA,"HS",NA,0
"LFS_1097","2015",2015,"SBY",132,2,NA,"MS",NA,0
"LFS_1098","2015",2015,"SBY",153,2,3,"MS","LS",0
"LFS_1099","2015",2015,"SBY",156,3,3,"LS","LS",0
"LFS_1100","2015",2015,"SBY",145,3,NA,"LS",NA,0
"LFS_1101","2015",2015,"SBY",156,2,3,"MS","LS",0
"LFS_1102","2015",2015,"SBY",195,3,3,"LS","LS",0
"LFS_1103","2015",2015,"SBY",179,2,2,"MS","MS",0
"LFS_1104","2015",2015,"SBY",158,3,3,"LS","LS",0
"LFS_1106","2014",2014,"SPB",223,2,2,"MS","MS",0
"LFS_1107","2014",2014,"SPB",243,2,3,"MS","LS",0
"LFS_1108","2014",2014,"SPB",221,3,3,"LS","LS",0
"LFS_1109","2014",2014,"SPB",212,2,3,"MS","LS",0
"LFS_1113","2014",2014,"SBY",238,3,3,"LS","LS",0
"LFS_1114","2014",2014,"SBY",223,4,3,"FW","LS",1
"LFS_1131","2014",2014,"CBY",228,3,3,"LS","LS",0
"LFS_1158","2011",2011,"SUS",257,2,2,"MS","MS",0
"LFS_1160","2011",2011,"SPB",176,2,2,"MS","MS",0
"LFS_1226","2011",2011,"CBY",197,1,2,"HS","MS",0
"LFS_1241","2011",2011,"CBY",191,1,2,"HS","MS",0
"LFS_1278","2011",2011,"CBY",227,2,2,"MS","MS",0
"LFS_1279","2011",2011,"CBY",186,1,1,"HS","HS",0
"LFS_1302","2014",2014,"ND",237,3,3,"LS","LS",0
"LFS_1340","2016",2016,"CBY",176,3,3,"LS","LS",1
"LFS_1341","2016",2016,"CBY",186,2,2,"MS","MS",1
"LFS_1342","2016",2016,"SPB",151,2,2,"MS","MS",1
"LFS_1344","2016",2016,"SPB",115,2,NA,"MS",NA,1
"LFS_1345","2016",2016,"SUS",212,1,2,"HS","MS",1
"LFS_1346","2016",2016,"SPB",131,2,NA,"MS",NA,1
"LFS_1348","2016",2016,"CBY",166,3,3,"LS","LS",1
"LFS_1349","2016",2016,"CBY",169,2,2,"MS","MS",1
"LFS_1350","2016",2016,"SBY",156,3,3,"LS","LS",1
"LFS_1351","2016",2016,"SBY",159,3,3,"LS","LS",1
"LFS_1352","2016",2016,"SBY",184,2,2,"MS","MS",1
"LFS_1353","2016",2016,"SBY",180,1,2,"HS","MS",1
"LFS_1354","2016",2016,"SBY",144,2,NA,"MS",NA,1
"LFS_1355","2016",2016,"SBY",149,2,NA,"MS",NA,1
"LFS_1356","2016",2016,"SBY",168,3,3,"LS","LS",1
"LFS_1357","2016",2016,"CBY",159,2,2,"MS","MS",1
"LFS_1358","2016",2016,"CBY",167,1,2,"HS","MS",1
"LFS_1359","2016",2016,"CBY",119,2,NA,"MS",NA,1
"LFS_1360","2016",2016,"CBY",148,1,NA,"HS",NA,1
"LFS_1361","2016",2016,"CAR",130,2,NA,"MS",NA,1
"LFS_1362","2016",2016,"CAR",121,2,NA,"MS",NA,1
"LFS_1363","2016",2016,"CAR",127,3,NA,"LS",NA,1
"LFS_1364","2016",2016,"CAR",140,2,NA,"MS",NA,1
"LFS_1365","2016",2016,"CAR",141,2,NA,"MS",NA,1
"LFS_1366","2016",2016,"CAR",147,2,NA,"MS",NA,1
"LFS_1367","2016",2016,"SPB",133,2,NA,"MS",NA,1
"LFS_1368","2016",2016,"SPB",152,2,2,"MS","MS",1
"LFS_1369","2016",2016,"SPB",128,2,NA,"MS",NA,1
"LFS_1378","2016",2016,"SPB",124,1,NA,"HS",NA,1
"LFS_1379","2016",2016,"SPB",138,1,NA,"HS",NA,1
"LFS_1380","2016",2016,"CBY",140,1,NA,"HS",NA,1
"LFS_1381","2016",2016,"CBY",167,1,2,"HS","MS",1
"LFS_1382","2016",2016,"CBY",140,3,NA,"LS",NA,1
"LFS_1383","2016",2016,"SBY",104,2,NA,"MS",NA,1
"LFS_1384","2016",2016,"CBY",168,1,2,"HS","MS",1
"LFS_1390","2016",2016,"SUS",132,2,NA,"MS",NA,1
"LFS_1395","2015",2015,"SBY",244,1,1,"HS","HS",0
"LFS_1396","2015",2015,"SBY",201,3,3,"LS","LS",0
"LFS_1397","2015",2015,"SBY",209,3,3,"LS","LS",0
"LFS_1409","2008",2008,"CBY",185,3,3,"LS","LS",0
"LFS_1412","2008",2008,"CBY",152,3,3,"LS","LS",0
"LFS_1415","2008",2008,"CBY",143,1,NA,"HS",NA,0
"LFS_1417","2008",2008,"CBY",151,2,3,"MS","LS",0
"LFS_1420","2008",2008,"CBY",190,3,3,"LS","LS",0
"LFS_1423","2008",2008,"ND",147,3,NA,"LS",NA,0
"LFS_1424","2008",2008,"LSR",169,3,3,"LS","LS",0
"LFS_1425","2008",2008,"LSR",154,2,3,"MS","LS",0
"LFS_1428","2008",2008,"ND",186,2,2,"MS","MS",0
"LFS_1434","2008",2008,"SPB",217,1,1,"HS","HS",0
"LFS_1435","2008",2008,"SPB",194,3,3,"LS","LS",0
"LFS_1438","2008",2008,"SPB",170,2,2,"MS","MS",0
"LFS_1439","2008",2008,"CBY",238,2,2,"MS","MS",0
"LFS_1446","2008",2008,"CBY",262,3,3,"LS","LS",0
"LFS_1554","2010",2010,"SUS",228,2,2,"MS","MS",1
"LFS_1591","2010",2010,"SUS",222,3,3,"LS","LS",1
"LFS_1698","2008",2008,"SUS",245,3,3,"LS","LS",0
"LFS_1704","2008",2008,"ND",164,3,3,"LS","LS",0
"LFS_1706","2008",2008,"SUS",129,1,NA,"HS",NA,0
"LFS_1722","2008",2008,"SUS",187,3,3,"LS","LS",0
"LFS_1723","2008",2008,"SUS",110,3,NA,"LS",NA,0
"LFS_1725","2008",2008,"SUS",106,3,NA,"LS",NA,0
"LFS_1729","2008",2008,"SUS",137,1,NA,"HS",NA,0
"LFS_1732","2008",2008,"SUS",113,2,NA,"MS",NA,0
"LFS_1743","2008",2008,"SUS",155,2,2,"MS","MS",0
"LFS_1756","2008",2008,"ND",135,3,NA,"LS",NA,0
"LFS_1772","2008",2008,"SJR",142,4,NA,"FW",NA,1
"LFS_1795","2008",2008,"SUS",119,3,NA,"LS",NA,0
"LFS_1799","2008",2008,"SJR",114,2,NA,"MS",NA,0
"LFS_1968","2010",2010,"SUS",100,2,NA,"MS",NA,1
"LFS_1970","2010",2010,"SUS",118,1,NA,"HS",NA,1
"LFS_1971","2010",2010,"SUS",90,NA,NA,NA,NA,0
"LFS_1974","2010",2010,"SUS",121,1,NA,"HS",NA,1
"LFS_1976","2010",2010,"SUS",100,2,NA,"MS",NA,1
"LFS_1981","2010",2010,"SUS",92,NA,NA,NA,NA,0
"LFS_1983","2010",2010,"SUS",124,2,NA,"MS",NA,1
"LFS_1987","2010",2010,"SUS",114,1,NA,"HS",NA,1
"LFS_1991","2010",2010,"SUS",75,NA,NA,NA,NA,0
"LFS_1993","2010",2010,"SUS",97,NA,NA,NA,NA,0
"LFS_1995","2010",2010,"SUS",94,NA,NA,NA,NA,0
"LFS_2004","2010",2010,"SUS",99,NA,NA,NA,NA,0
"LFS_2011","2010",2010,"SUS",155,2,2,"MS","MS",1
"LFS_2014","2010",2010,"SUS",123,2,NA,"MS",NA,1
"LFS_2016","2010",2010,"SUS",78,NA,NA,NA,NA,0
"LFS_2019","2010",2010,"SUS",131,2,NA,"MS",NA,1
"LFS_2022","2010",2010,NA,150,1,2,"HS","MS",1
"LFS_2024","2010",2010,"SUS",132,3,NA,"LS",NA,1
"LFS_2370","2017",2017,"SPB",79,NA,NA,NA,NA,0
"LFS_2403","2017",2017,"SPB",289,1,1,"HS","HS",0
"LFS_2433","2017",2017,"LSB",183,1,1,"HS","HS",0
"LFS_2536","2017",2017,"SPB",90,NA,NA,NA,NA,0
"LFS_2539","2017",2017,"SPB",116,2,NA,"MS",NA,0
"LFS_2746","2000",2000,"SUS",243,1,2,"HS","MS",1
"LFS_2751","2000",2000,"SUS",205,1,1,"HS","HS",1
"LFS_3202","1999",1999,"SUS",152,2,2,"MS","MS",0
"LFS_3222","1999",1999,"SUS",161,3,3,"LS","LS",0
"LFS_3225","1999",1999,"SPB",211,1,1,"HS","HS",0
"LFS_3228","1999",1999,"SPB",176,2,2,"MS","MS",0
"LFS_3229","1999",1999,"SPB",179,2,2,"MS","MS",0
"LFS_3231","1999",1999,"SPB",168,1,1,"HS","HS",0
"LFS_3440","1999",1999,"SUS",168,1,1,"HS","HS",0
"LFS_3441","1999",1999,"SUS",232,2,2,"MS","MS",0
"LFS_3442","1999",1999,"SUS",202,1,1,"HS","HS",0
"LFS_3493","1999",1999,"SUS",219,1,1,"HS","HS",0
"LFS_3495","1999",1999,"SUS",192,1,2,"HS","MS",0
"LFS_3497","1999",1999,"SUS",250,3,3,"LS","LS",0
"LFS_3502","1999",1999,"SUS",207,3,3,"LS","LS",0
"LFS_3503","1999",1999,"SUS",196,1,1,"HS","HS",0
"LFS_3504","1999",1999,"SUS",175,1,1,"HS","HS",0
"LFS_3508","1999",1999,"SUS",146,3,NA,"LS",NA,0
"LFS_3509","1999",1999,"SUS",190,1,1,"HS","HS",0
"LFS_3601","2000",2000,"SUS",134,3,NA,"LS",NA,1
"LFS_3602","2000",2000,"SUS",120,3,NA,"LS",NA,1
"LFS_3603","2000",2000,"SUS",129,1,NA,"HS",NA,1
"LFS_3604","2000",2000,"SUS",125,2,NA,"MS",NA,1
"LFS_3608","2000",2000,"SUS",137,2,NA,"MS",NA,1
"LFS_3609","2000",2000,"SUS",131,2,NA,"MS",NA,1
"LFS_3610","2000",2000,"SUS",109,2,NA,"MS",NA,1
"LFS_3611","2000",2000,"SUS",126,1,NA,"HS",NA,1
"LFS_3612","2000",2000,"SUS",136,3,NA,"LS",NA,1
"LFS_3613","2000",2000,"SUS",125,2,NA,"MS",NA,1
"LFS_3614","2000",2000,"SUS",94,NA,NA,NA,NA,0
"LFS_3615","2000",2000,"SUS",145,3,NA,"LS",NA,1
"LFS_3616","2000",2000,"SUS",110,2,NA,"MS",NA,1
"LFS_3617","2000",2000,"SUS",154,2,2,"MS","MS",1
"LFS_3618","2000",2000,"SUS",115,1,NA,"HS",NA,1
"LFS_3619","2000",2000,"SUS",117,2,NA,"MS",NA,1
"LFS_3620","2000",2000,"SUS",131,3,NA,"LS",NA,1
"LFS_3621","2000",2000,"SUS",154,2,2,"MS","MS",1
"LFS_3622","2000",2000,"SUS",99,NA,NA,NA,NA,0
"LFS_3623","2000",2000,"SUS",104,3,NA,"LS",NA,1
"LFS_3624","2000",2000,"SUS",133,3,NA,"LS",NA,1
"LFS_3625","2006",2006,"CBY",165,1,1,"HS","HS",0
"LFS_3627","2006",2006,"CBY",133,1,NA,"HS",NA,0
"LFS_3630","2006",2006,"CBY",149,1,NA,"HS",NA,0
"LFS_3633","2006",2006,"CBY",130,2,NA,"MS",NA,0
"LFS_3634","2006",2006,"CBY",115,1,NA,"HS",NA,0
"LFS_3635","2006",2006,"SPB",191,1,1,"HS","HS",0
"LFS_3636","2006",2006,"SPB",191,1,1,"HS","HS",0
"LFS_3637","2006",2006,"SPB",208,1,1,"HS","HS",0
"LFS_3638","2006",2006,"SPB",200,1,1,"HS","HS",0
"LFS_3639","2006",2006,"SPB",155,1,1,"HS","HS",0
"LFS_3641","2006",2006,"SPB",196,1,1,"HS","HS",0
"LFS_3643","2006",2006,"SPB",177,1,1,"HS","HS",0
"LFS_3648","2006",2006,"SPB",185,1,1,"HS","HS",0
"LFS_3649","2006",2006,"SPB",200,1,1,"HS","HS",0
"LFS_3650","2006",2006,"SPB",158,1,1,"HS","HS",0
"LFS_3651","2006",2006,"SPB",182,1,1,"HS","HS",0
"LFS_3652","2006",2006,"CBY",173,1,1,"HS","HS",0
"LFS_3653","2006",2006,"CBY",128,1,NA,"HS",NA,0
"LFS_3654","2006",2006,"CBY",162,1,1,"HS","HS",0
"LFS_3655","2006",2006,"CBY",156,1,1,"HS","HS",0
"LFS_3656","2006",2006,"CBY",200,1,1,"HS","HS",0
"LFS_3657","2006",2006,"CBY",215,1,1,"HS","HS",0
"LFS_3663","2006",2006,"SPB",219,1,1,"HS","HS",0
"LFS_3664","2006",2006,"SPB",233,1,2,"HS","MS",0
"LFS_3666","2006",2006,"SPB",209,1,1,"HS","HS",0
"LFS_3667","2006",2006,"SPB",226,1,1,"HS","HS",0
"LFS_3668","2006",2006,"SPB",204,1,1,"HS","HS",0
"LFS_3669","2006",2006,"SPB",205,NA,NA,NA,NA,0
"LFS_3670","2006",2006,"SPB",226,1,1,"HS","HS",0
"LFS_3671","2006",2006,"SPB",226,1,1,"HS","HS",0
"LFS_3672","2017",2017,"CBY",167,1,1,"HS","HS",0
"LFS_3673","2017",2017,"CBY",164,1,1,"HS","HS",0
"LFS_3674","2017",2017,"SPB",105,1,NA,"HS",NA,0
"LFS_3675","2017",2017,"SPB",174,1,1,"HS","HS",0
"LFS_3676","2017",2017,"SPB",117,1,NA,"HS",NA,0
"LFS_3677","2017",2017,"SPB",176,1,1,"HS","HS",0
"LFS_3678","2017",2017,"SPB",122,2,NA,"MS",NA,0
"LFS_3679","2017",2017,"SPB",133,1,NA,"HS",NA,0
"LFS_3680","2017",2017,"CBY",173,1,2,"HS","MS",0
"LFS_3681","2017",2017,"CBY",172,1,1,"HS","HS",0
"LFS_3682","2017",2017,"CBY",173,1,1,"HS","HS",0
"LFS_3683","2017",2017,"CBY",168,1,1,"HS","HS",0
"LFS_3684","2017",2017,"CBY",189,1,2,"HS","MS",0
"LFS_3685","2017",2017,"CBY",191,1,1,"HS","HS",0
"LFS_3686","2017",2017,"CBY",163,2,2,"MS","MS",0
"LFS_3687","2017",2017,"SPB",162,1,1,"HS","HS",0
"LFS_3688","2017",2017,"SPB",129,1,NA,"HS",NA,0
"LFS_3689","2017",2017,"CBY",186,1,1,"HS","HS",0
"LFS_3690","2017",2017,"SPB",180,1,1,"HS","HS",0
"LFS_3691","2017",2017,"SPB",173,1,1,"HS","HS",0
"LFS_3692","2017",2017,"SUS",200,1,1,"HS","HS",0
"LFS_3693","2017",2017,"SUS",230,1,1,"HS","HS",0
"LFS_3695","2017",2017,"CBY",239,1,1,"HS","HS",0
"LFS_3696","2017",2017,"CBY",208,1,1,"HS","HS",0
"LFS_3697","2017",2017,"SPB",208,1,1,"HS","HS",0
"LFS_3698","2017",2017,"SPB",211,2,2,"MS","MS",0
"LFS_3699","2017",2017,"SPB",225,1,1,"HS","HS",0
"LFS_3700","2017",2017,"SPB",204,1,2,"HS","MS",0
"LFS_3701","2017",2017,"CBY",236,1,1,"HS","HS",0
"LFS_3702","2017",2017,"CBY",278,1,1,"HS","HS",0
"LFS_3703","2017",2017,"CBY",221,1,1,"HS","HS",0
"LFS_3704","2017",2017,"SPB",214,1,1,"HS","HS",0
"LFS_3705","2017",2017,"SPB",233,1,2,"HS","MS",0
"LFS_3706","2017",2017,"SPB",206,3,3,"LS","LS",0
"LFS_3707","2017",2017,"SPB",219,2,2,"MS","MS",0
"LFS_3709","2017",2017,"SPB",223,1,1,"HS","HS",0
"LFS_3711","2017",2017,"SPB",205,1,1,"HS","HS",0
"LFS_3713","2017",2017,"CBY",294,1,2,"HS","MS",0
"LFS_3716","2017",2017,"CBY",249,1,1,"HS","HS",0
"LFS_3717","2017",2017,"SPB",239,1,1,"HS","HS",0
"LFS_3718","2017",2017,"SPB",248,1,1,"HS","HS",0
"LFS_3720","2017",2017,"SPB",246,1,1,"HS","HS",0
"LFS_3721","2017",2017,"SUS",248,1,1,"HS","HS",0
"LFS_3723","2017",2017,"SUS",222,1,1,"HS","HS",0
"LFS_3724","2017",2017,"SUS",223,1,1,"HS","HS",0
"LFS_3725","2017",2017,"SUS",233,1,1,"HS","HS",0
"LFS_3726","2017",2017,"SUS",246,1,2,"HS","MS",0
"LFS_3727","2017",2017,"SUS",217,1,1,"HS","HS",0
"LFS_3728","2017",2017,NA,211,1,1,"HS","HS",0
"LFS_3729","1999",1999,"CAR",145,1,NA,"HS",NA,0
"LFS_3733","1999",1999,"CAR",194,1,1,"HS","HS",0
"LFS_3734","1999",1999,"CAR",203,2,2,"MS","MS",0
"LFS_3736","1999",1999,"CAR",198,1,1,"HS","HS",0
"LFS_3737","1999",1999,"CAR",197,2,2,"MS","MS",0
"LFS_3738","1999",1999,"CAR",217,1,1,"HS","HS",0
"LFS_3739","1999",1999,"CAR",192,1,1,"HS","HS",0
"LFS_3740","1999",1999,"CAR",197,2,2,"MS","MS",0
"LFS_3741","1999",1999,"CAR",199,2,2,"MS","MS",0
"LFS_3743","1999",1999,"CAR",207,1,1,"HS","HS",0
"LFS_3744","1999",1999,"CAR",181,1,1,"HS","HS",0
"LFS_3745","1999",1999,"CAR",178,3,3,"LS","LS",0
"LFS_3747","1999",1999,"CAR",211,1,2,"HS","MS",0
"LFS_3748","1999",1999,"CAR",206,NA,NA,NA,NA,0
"LFS_3752","1999",1999,"SUS",193,3,3,"LS","LS",0
"LFS_3753","1999",1999,"SUS",204,NA,NA,NA,NA,0
"LFS_3754","1999",1999,"SUS",218,2,2,"MS","MS",0
"LFS_3760","2006",2006,"CBY",180,1,1,"HS","HS",0
